"LOCID" "description" "feature"
"1" "LOC109621113" "uncharacterized protein LOC109621113" "genome"
"2" "LOC117687066" "uncharacterized protein LOC117687066" "genome"
"3" "LOC117689737" "uncharacterized protein LOC117689737" "genome"
"4" "LOC117687025" "uncharacterized protein LOC117687025" "genome"
"5" "LOC105333279" "uncharacterized protein LOC105333279" "genome"
"6" "LOC105321471" "uncharacterized protein LOC105321471" "genome"
"7" "LOC105321472" "uncharacterized protein LOC105321472" "genome"
"8" "LOC117687070" "uncharacterized protein LOC117687070" "genome"
"9" "LOC105344774" "uncharacterized protein LOC105344774" "genome"
"10" "LOC117687074" "uncharacterized protein LOC117687074" "genome"
"11" "LOC117682936" "uncharacterized protein LOC117682936" "genome"
"12" "LOC105336148" "uncharacterized protein LOC105336148" "genome"
"13" "LOC105321192" "uncharacterized protein LOC105321192" "genome"
"14" "LOC105346550" "elongator complex protein 5" "genome"
"15" "LOC117684471" "uncharacterized protein LOC117684471" "genome"
"16" "LOC117684472" "uncharacterized protein LOC117684472" "genome"
"17" "LOC105333180" "uncharacterized protein LOC105333180" "genome"
"18" "LOC105321195" "uncharacterized protein LOC105321195" "genome"
"19" "LOC105321205" "2-oxoglutarate-dependent dioxygenase citB" "genome"
"20" "LOC105321194" "glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic" "genome"
"21" "LOC105321193" "tax1-binding protein 1 homolog isoform X1" "genome"
"22" "LOC105321197" "prefoldin subunit 5-like" "genome"
"23" "LOC105321199" "serine/threonine-protein kinase greatwall-like isoform X2" "genome"
"24" "LOC105321198" "catenin delta-2 isoform X1" "genome"
"25" "LOC105321201" "uncharacterized protein LOC105321201 isoform X1" "genome"
"26" "LOC105321202" "uncharacterized protein LOC105321202" "genome"
"27" "LOC105321203" "fibrillin-1 isoform X2" "genome"
"28" "LOC105328747" "solute carrier family 23 member 2 isoform X2" "genome"
"29" "LOC105328746" "uncharacterized protein LOC105328746 isoform X1" "genome"
"30" "LOC105328744" "PHD finger protein 20-like protein 1 isoform X1" "genome"
"31" "LOC105328743" "poly(U)-specific endoribonuclease isoform X2" "genome"
"32" "LOC105328742" "uncharacterized protein LOC105328742 isoform X1" "genome"
"33" "LOC105328741" "mediator of RNA polymerase II transcription subunit 18 isoform X1" "genome"
"34" "LOC109619976" "A disintegrin and metalloproteinase with thrombospondin motifs 7" "genome"
"35" "LOC105337994" "uncharacterized protein LOC105337994 isoform X2" "genome"
"36" "LOC105338004" "sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1" "genome"
"37" "LOC117684582" "putative nuclease HARBI1" "genome"
"38" "LOC117684581" "myb-related transcription factor, partner of profilin-like isoform X2" "genome"
"39" "LOC117684579" "sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like" "genome"
"40" "LOC117684584" "uncharacterized protein LOC117684584" "genome"
"41" "LOC105333579" "uncharacterized protein LOC105333579 isoform X2" "genome"
"42" "LOC109620526" "microfibril-associated glycoprotein 4" "genome"
"43" "LOC117684587" "uncharacterized protein LOC117684587" "genome"
"44" "LOC105342798" "uncharacterized protein LOC105342798 isoform X2" "genome"
"45" "LOC105320538" "uncharacterized protein LOC105320538" "genome"
"46" "LOC105320528" "membrane-bound O-acyltransferase domain-containing protein 2-like isoform X1" "genome"
"47" "LOC105320530" "putative homeodomain transcription factor 2 isoform X1" "genome"
"48" "LOC105320526" "uncharacterized protein LOC105320526" "genome"
"49" "LOC105328197" "uncharacterized protein LOC105328197 isoform X2" "genome"
"50" "LOC109618754" "uncharacterized protein LOC109618754 isoform X2" "genome"
"51" "LOC117684695" "uncharacterized protein LOC117684695 isoform X1" "genome"
"52" "LOC105318169" "metal cation symporter ZIP14 isoform X1" "genome"
"53" "LOC105318171" "PDZ and LIM domain protein 1" "genome"
"54" "LOC105318173" "beta-mannosidase isoform X1" "genome"
"55" "LOC105318172" "beta-mannosidase isoform X1" "genome"
"56" "LOC105318174" "protein cereblon homolog" "genome"
"57" "LOC105318175" "zinc finger protein 704" "genome"
"58" "LOC105318177" "uncharacterized protein LOC105318177" "genome"
"59" "LOC117684712" "uncharacterized protein LOC117684712 isoform X3" "genome"
"60" "LOC117680420" "uncharacterized protein LOC117680420" "genome"
"61" "LOC105318178" "uncharacterized protein LOC105318178" "genome"
"62" "LOC105318179" "uncharacterized protein LOC105318179" "genome"
"63" "LOC117684720" "uncharacterized protein LOC117684720" "genome"
"64" "LOC117684719" "uncharacterized protein LOC117684719" "genome"
"65" "LOC117684715" "uncharacterized protein LOC117684715" "genome"
"66" "LOC117684721" "uncharacterized protein LOC117684721" "genome"
"67" "LOC109619554" "uncharacterized protein LOC109619554 isoform X1" "genome"
"68" "LOC105329536" "serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A" "genome"
"69" "LOC105329535" "patched domain-containing protein 3" "genome"
"70" "LOC105329534" "uncharacterized protein LOC105329534" "genome"
"71" "LOC117684746" "LOW QUALITY PROTEIN: protein argonaute-2-like" "genome"
"72" "LOC105329532" "protein argonaute-2 isoform X3" "genome"
"73" "LOC105329531" "uncharacterized protein LOC105329531 isoform X2" "genome"
"74" "LOC105329529" "uncharacterized protein LOC105329529" "genome"
"75" "LOC105327371" "natterin-4" "genome"
"76" "LOC105327353" "natterin-4" "genome"
"77" "LOC105324352" "uncharacterized protein LOC105324352" "genome"
"78" "LOC105327356" "UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase-like isoform X1" "genome"
"79" "LOC117680533" "UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase-like isoform X2" "genome"
"80" "LOC117680523" "UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase-like isoform X1" "genome"
"81" "LOC105327355" "methionine--tRNA ligase, cytoplasmic isoform X2" "genome"
"82" "LOC105327359" "uncharacterized protein LOC105327359 isoform X1" "genome"
"83" "LOC105327358" "cubilin isoform X1" "genome"
"84" "LOC105327360" "uncharacterized protein LOC105327360" "genome"
"85" "LOC105327361" "protein arginine N-methyltransferase 1" "genome"
"86" "LOC105327363" "uncharacterized protein LOC105327363 isoform X1" "genome"
"87" "LOC105321409" "A disintegrin and metalloproteinase with thrombospondin motifs 10 isoform X6" "genome"
"88" "LOC117692559" "uncharacterized protein LOC117692559" "genome"
"89" "LOC105345083" "teneurin-3 isoform X1" "genome"
"90" "LOC105345084" "beta-1,3-galactosyltransferase 1" "genome"
"91" "LOC105347024" "uncharacterized protein LOC105347024" "genome"
"92" "LOC117681699" "uncharacterized protein LOC117681699" "genome"
"93" "LOC105327365" "forkhead box protein N4" "genome"
"94" "LOC105319881" "uncharacterized protein LOC105319881 isoform X2" "genome"
"95" "LOC105319882" "uncharacterized protein LOC105319882" "genome"
"96" "LOC105319883" "diablo homolog, mitochondrial isoform X1" "genome"
"97" "LOC105319884" "transmembrane emp24 domain-containing protein 1-like" "genome"
