id	gene_short_name
LOC117693020	uncharacterized LOC117693020_ncRNA
LOC109621113	uncharacterized LOC109621113
LOC117687066	uncharacterized LOC117687066
LOC117689737	uncharacterized LOC117689737
LOC117687025	uncharacterized LOC117687025
LOC105333279	uncharacterized LOC105333279
LOC105321471	uncharacterized LOC105321471
LOC105321472	uncharacterized LOC105321472
LOC117687070	uncharacterized LOC117687070
LOC117689460	uncharacterized LOC117689460_ncRNA
LOC105344774	uncharacterized LOC105344774
LOC105326952	uncharacterized LOC105326952_ncRNA
LOC117690921	uncharacterized LOC117690921_ncRNA
LOC117690907	uncharacterized LOC117690907_ncRNA
LOC117687074	uncharacterized LOC117687074
LOC117682936	uncharacterized LOC117682936
LOC105336148	uncharacterized LOC105336148
LOC105346550	elongator complex protein 5
LOC105321192	uncharacterized LOC105321192
LOC117684466	uncharacterized LOC117684466_ncRNA
LOC117684471	uncharacterized LOC117684471
LOC117684472	uncharacterized LOC117684472
LOC105333180	uncharacterized LOC105333180
LOC105321195	uncharacterized LOC105321195
LOC105321194	glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
LOC105321205	2-oxoglutarate-dependent dioxygenase citB
LOC105321193	tax1-binding protein 1 homolog
LOC105321197	prefoldin subunit 5-like
LOC105321199	serine/threonine-protein kinase greatwall-like
LOC105321198	catenin delta-2
LOC105321201	uncharacterized LOC105321201
LOC105321202	uncharacterized LOC105321202
LOC105321203	fibrillin-1
LOC105328747	solute carrier family 23 member 2
LOC105328746	uncharacterized LOC105328746
LOC105328744	PHD finger protein 20-like protein 1
LOC105328743	poly(U)-specific endoribonuclease
LOC105328742	uncharacterized LOC105328742
LOC105328741	mediator of RNA polymerase II transcription subunit 18
LOC109619976	A disintegrin and metalloproteinase with thrombospondin motifs 7
LOC105337994	uncharacterized LOC105337994
LOC105328736	uncharacterized LOC105328736_ncRNA
LOC105338004	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1
LOC117684582	putative nuclease HARBI1
LOC117684581	myb-related transcription factor, partner of profilin-like
LOC117684579	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
LOC117684584	uncharacterized LOC117684584
LOC105333579	uncharacterized LOC105333579
LOC109620526	microfibril-associated glycoprotein 4
LOC117684587	uncharacterized LOC117684587
LOC105342798	uncharacterized LOC105342798
LOC105320538	uncharacterized LOC105320538
LOC105320528	membrane-bound O-acyltransferase domain-containing protein 2-like
LOC105320530	putative homeodomain transcription factor 2
LOC105320526	uncharacterized LOC105320526
LOC105328197	uncharacterized LOC105328197
LOC109618754	uncharacterized LOC109618754
LOC117684695	uncharacterized LOC117684695
LOC105318169	metal cation symporter ZIP14
Trnas-aga	NA
Trnas-aga_1	NA
Trnas-aga_2	NA
LOC105318171	PDZ and LIM domain protein 1
LOC105318173	beta-mannosidase
LOC105318172	beta-mannosidase
LOC105318174	protein cereblon homolog
LOC105318175	zinc finger protein 704
LOC105318177	uncharacterized LOC105318177
LOC105324046	uncharacterized LOC105324046_ncRNA
LOC117684712	uncharacterized LOC117684712
LOC117684723	uncharacterized LOC117684723_ncRNA
LOC117680420	uncharacterized LOC117680420
LOC105318178	uncharacterized LOC105318178
LOC105318179	uncharacterized LOC105318179
LOC117684724	uncharacterized LOC117684724_ncRNA
LOC117684720	uncharacterized LOC117684720
LOC117684719	uncharacterized LOC117684719
LOC117684715	uncharacterized LOC117684715
LOC117684721	uncharacterized LOC117684721
LOC109619554	uncharacterized LOC109619554
LOC105329536	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A
LOC105329535	patched domain-containing protein 3
LOC105329534	uncharacterized LOC105329534
LOC117684746	protein argonaute-2-like
LOC105329532	protein argonaute-2
LOC105329531	cholecystokinin receptor type A-like
LOC105329529	uncharacterized LOC105329529
LOC105327371	hypothetical protein
LOC105327353	natterin-4
LOC105324352	uncharacterized LOC105324352
LOC105327356	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase-like
LOC109618651	uncharacterized LOC109618651_ncRNA
LOC117680533	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase-like
LOC117692528	uncharacterized LOC117692528_ncRNA
LOC117680523	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase-like
LOC105327355	methionine--tRNA ligase, cytoplasmic
LOC105327359	uncharacterized LOC105327359
LOC105327358	cubilin
LOC105327360	uncharacterized LOC105327360
LOC105327361	protein arginine N-methyltransferase 1
LOC105327363	uncharacterized LOC105327363
LOC105321409	SCO-spondin
LOC117692559	uncharacterized LOC117692559
LOC105345083	tenascin
LOC105345084	beta-1,3-galactosyltransferase 1
LOC105347024	uncharacterized LOC105347024
LOC117681699	uncharacterized LOC117681699
LOC105327365	forkhead box protein N4
LOC105319881	nostrin
