GOID,p.value,gene,padj,log2FoldChange,description,product_accession,GeneID,genomic_accession,start,end,GOterm,GOSlim,GOcat
GO:0000209,0.00023,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,XM_034478761.1,117691871,NC_047563.1,68155765,68354621,protein polyubiquitination,protein metabolism,P
GO:0000209,0.00023,LOC105341672,0.000842564152387999,2.87329716587769,uncharacterized protein LOC105341672 isoform X2,XM_034459225.1,105341672,NW_022994774.1,224950,232961,protein polyubiquitination,protein metabolism,P
GO:0000209,0.00023,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,XM_034478758.1,117691871,NC_047563.1,68155764,68351111,protein polyubiquitination,protein metabolism,P
GO:0000209,0.00023,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,XM_034478759.1,117691871,NC_047563.1,68155765,68354621,protein polyubiquitination,protein metabolism,P
GO:0000209,0.00023,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,XM_034478760.1,117691871,NC_047563.1,68155762,68351111,protein polyubiquitination,protein metabolism,P
GO:0000209,0.00023,LOC105341672,0.000842564152387999,2.87329716587769,uncharacterized protein LOC105341672 isoform X2,XM_011448310.3,105341672,NW_022994774.1,224961,232961,protein polyubiquitination,protein metabolism,P
GO:0000272,0.00123,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,XM_034463147.1,117687051,NC_047560.1,60456616,60468072,polysaccharide catabolic process,other metabolic processes,P
GO:0000272,0.00123,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,XM_034463149.1,117687051,NC_047560.1,60457996,60467913,polysaccharide catabolic process,other metabolic processes,P
GO:0000272,0.00123,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,XM_034463148.1,117687051,NC_047560.1,60457945,60467913,polysaccharide catabolic process,other metabolic processes,P
GO:0001501,0.00011,LOC105338579,0.000598834762843881,-1.65582861125112,collagen alpha-1(XII) chain,XM_011443766.3,105338579,NC_047561.1,18199539,18203049,skeletal system development,developmental processes,P
GO:0001501,0.00011,LOC117691676,0.00463941630002212,3.15393166535668,C-type lectin mannose-binding isoform-like isoform X1,XM_034478262.1,117691676,NC_047563.1,9002964,9005782,skeletal system development,developmental processes,P
GO:0001501,0.00011,LOC117691676,0.00463941630002212,3.15393166535668,C-type lectin mannose-binding isoform-like isoform X1,XM_034478263.1,117691676,NC_047563.1,9002964,9005984,skeletal system development,developmental processes,P
GO:0001890,0.00253,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,XM_034478759.1,117691871,NC_047563.1,68155765,68354621,placenta development,developmental processes,P
GO:0001890,0.00253,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,XM_034478760.1,117691871,NC_047563.1,68155762,68351111,placenta development,developmental processes,P
GO:0001890,0.00253,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,XM_034478761.1,117691871,NC_047563.1,68155765,68354621,placenta development,developmental processes,P
GO:0001890,0.00253,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,XM_034478758.1,117691871,NC_047563.1,68155764,68351111,placenta development,developmental processes,P
GO:0006032,0.00019,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,XM_034463148.1,117687051,NC_047560.1,60457945,60467913,chitin catabolic process,other metabolic processes,P
GO:0006032,0.00019,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,XM_034463149.1,117687051,NC_047560.1,60457996,60467913,chitin catabolic process,other metabolic processes,P
GO:0006032,0.00019,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,XM_034463147.1,117687051,NC_047560.1,60456616,60468072,chitin catabolic process,other metabolic processes,P
GO:0006816,0.00090,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,XM_034463150.1,117687051,NC_047560.1,60456579,60462499,calcium ion transport,transport,P
GO:0006874,0.00196,LOC117691429,3.69101666229366e-07,-1.56755281655859,uncharacterized protein LOC117691429,XM_034477534.1,117691429,NC_047563.1,49282185,49286995,cellular calcium ion homeostasis,other biological processes,P
GO:0006874,0.00196,LOC117691429,3.69101666229366e-07,-1.56755281655859,uncharacterized protein LOC117691429,XM_034477532.1,117691429,NC_047563.1,49282185,49286868,cellular calcium ion homeostasis,other biological processes,P
GO:0006874,0.00196,LOC117691429,3.69101666229366e-07,-1.56755281655859,uncharacterized protein LOC117691429,XM_034477533.1,117691429,NC_047563.1,49282185,49286995,cellular calcium ion homeostasis,other biological processes,P
GO:0006874,0.00196,LOC117691429,3.69101666229366e-07,-1.56755281655859,uncharacterized protein LOC117691429,XM_034477530.1,117691429,NC_047563.1,49282185,49286995,cellular calcium ion homeostasis,other biological processes,P
GO:0006874,0.00196,LOC117691429,3.69101666229366e-07,-1.56755281655859,uncharacterized protein LOC117691429,XM_034477531.1,117691429,NC_047563.1,49282185,49286995,cellular calcium ion homeostasis,other biological processes,P
GO:0006909,0.00365,LOC117686792,0.00475806899790206,-2.27129208695068,multiple epidermal growth factor-like domains protein 11,XM_034462569.1,117686792,NC_047560.1,40638133,40649980,phagocytosis,cell organization and biogenesis,P
GO:0006909,0.00365,LOC117684731,0.00302463221449865,2.1464345111527,cell death abnormality protein 1-like,XM_034458089.1,117684731,NC_047568.1,38220698,38236472,phagocytosis,transport,P
GO:0006909,0.00365,LOC117686792,0.00475806899790206,-2.27129208695068,multiple epidermal growth factor-like domains protein 11,XM_034462569.1,117686792,NC_047560.1,40638133,40649980,phagocytosis,transport,P
GO:0006909,0.00365,LOC117684731,0.00302463221449865,2.1464345111527,cell death abnormality protein 1-like,XM_034458089.1,117684731,NC_047568.1,38220698,38236472,phagocytosis,transport,P
GO:0006909,0.00365,LOC117684731,0.00302463221449865,2.1464345111527,cell death abnormality protein 1-like,XM_034458089.1,117684731,NC_047568.1,38220698,38236472,phagocytosis,cell organization and biogenesis,P
GO:0006909,0.00365,LOC117686792,0.00475806899790206,-2.27129208695068,multiple epidermal growth factor-like domains protein 11,XM_034462569.1,117686792,NC_047560.1,40638133,40649980,phagocytosis,cell organization and biogenesis,P
GO:0006909,0.00365,LOC117686792,0.00475806899790206,-2.27129208695068,multiple epidermal growth factor-like domains protein 11,XM_034462569.1,117686792,NC_047560.1,40638133,40649980,phagocytosis,transport,P
GO:0006909,0.00365,LOC117686792,0.00475806899790206,-2.27129208695068,multiple epidermal growth factor-like domains protein 11,XM_034462569.1,117686792,NC_047560.1,40638133,40649980,phagocytosis,transport,P
