GOID,p.value,gene,padj,log2FoldChange,description,GeneID,genomic_accession,start,end,GOterm,GOSlim,GOcat
GO:0000209,0.00023,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,117691871,NC_047563.1,68155765,68354621,protein polyubiquitination,protein metabolism,P
GO:0000209,0.00023,LOC105341672,0.000842564152387999,2.87329716587769,uncharacterized protein LOC105341672 isoform X2,105341672,NW_022994774.1,224950,232961,protein polyubiquitination,protein metabolism,P
GO:0000209,0.00023,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,117691871,NC_047563.1,68155764,68351111,protein polyubiquitination,protein metabolism,P
GO:0000209,0.00023,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,117691871,NC_047563.1,68155762,68351111,protein polyubiquitination,protein metabolism,P
GO:0000209,0.00023,LOC105341672,0.000842564152387999,2.87329716587769,uncharacterized protein LOC105341672 isoform X2,105341672,NW_022994774.1,224961,232961,protein polyubiquitination,protein metabolism,P
GO:0000272,0.00123,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,117687051,NC_047560.1,60456616,60468072,polysaccharide catabolic process,other metabolic processes,P
GO:0000272,0.00123,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,117687051,NC_047560.1,60457996,60467913,polysaccharide catabolic process,other metabolic processes,P
GO:0000272,0.00123,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,117687051,NC_047560.1,60457945,60467913,polysaccharide catabolic process,other metabolic processes,P
GO:0001501,0.00011,LOC105338579,0.000598834762843881,-1.65582861125112,collagen alpha-1(XII) chain,105338579,NC_047561.1,18199539,18203049,skeletal system development,developmental processes,P
GO:0001501,0.00011,LOC117691676,0.00463941630002212,3.15393166535668,C-type lectin mannose-binding isoform-like isoform X1,117691676,NC_047563.1,9002964,9005782,skeletal system development,developmental processes,P
GO:0001501,0.00011,LOC117691676,0.00463941630002212,3.15393166535668,C-type lectin mannose-binding isoform-like isoform X1,117691676,NC_047563.1,9002964,9005984,skeletal system development,developmental processes,P
GO:0001666,0.000020593624131712,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,117691871,NC_047563.1,68155765,68354621,response to hypoxia,stress response,P
GO:0001666,0.000020593624131712,LOC105317803,0.0111087665798493,-2.0004741178777,mitochondrial uncoupling protein 2,105317803,NC_047561.1,46420193,46425232,response to hypoxia,stress response,P
GO:0001666,0.000020593624131712,LOC105317803,0.0111087665798493,-2.0004741178777,mitochondrial uncoupling protein 2,105317803,NC_047561.1,46420193,46423973,response to hypoxia,stress response,P
GO:0001666,0.000020593624131712,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,117691871,NC_047563.1,68155764,68351111,response to hypoxia,stress response,P
GO:0001666,0.000020593624131712,LOC105317803,0.0111087665798493,-2.0004741178777,mitochondrial uncoupling protein 2,105317803,NC_047561.1,46420193,46423977,response to hypoxia,stress response,P
GO:0001666,0.000020593624131712,LOC105336969,0.00178451729667025,1.70297327958389,superoxide dismutase [Cu-Zn],105336969,NC_047567.1,33505153,33509020,response to hypoxia,stress response,P
GO:0001666,0.000020593624131712,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,117691871,NC_047563.1,68155762,68351111,response to hypoxia,stress response,P
GO:0001890,0.00253,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,117691871,NC_047563.1,68155765,68354621,placenta development,developmental processes,P
GO:0001890,0.00253,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,117691871,NC_047563.1,68155762,68351111,placenta development,developmental processes,P
GO:0001890,0.00253,LOC117691871,0.0119745174047996,-2.66627154711472,uncharacterized protein LOC117691871 isoform X2,117691871,NC_047563.1,68155764,68351111,placenta development,developmental processes,P
GO:0002024,0.000000000017654154,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286995,diet induced thermogenesis,other metabolic processes,P
GO:0002024,0.000000000017654154,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286868,diet induced thermogenesis,other metabolic processes,P
GO:0006032,0.00019,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,117687051,NC_047560.1,60457945,60467913,chitin catabolic process,other metabolic processes,P
GO:0006032,0.00019,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,117687051,NC_047560.1,60457996,60467913,chitin catabolic process,other metabolic processes,P
GO:0006032,0.00019,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,117687051,NC_047560.1,60456616,60468072,chitin catabolic process,other metabolic processes,P
GO:0006816,0.00090,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,117687051,NC_047560.1,60456579,60462499,calcium ion transport,transport,P
GO:0006874,0.00196,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286995,cellular calcium ion homeostasis,other biological processes,P
GO:0006874,0.00196,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286868,cellular calcium ion homeostasis,other biological processes,P
GO:0006909,0.00365,LOC117686792,0.00475806899790206,-2.27129208695068,multiple epidermal growth factor-like domains protein 11,117686792,NC_047560.1,40638133,40649980,phagocytosis,cell organization and biogenesis,P
GO:0006909,0.00365,LOC117684731,0.00302463221449865,2.1464345111527,cell death abnormality protein 1-like,117684731,NC_047568.1,38220698,38236472,phagocytosis,transport,P
GO:0006909,0.00365,LOC117686792,0.00475806899790206,-2.27129208695068,multiple epidermal growth factor-like domains protein 11,117686792,NC_047560.1,40638133,40649980,phagocytosis,transport,P
GO:0006909,0.00365,LOC117684731,0.00302463221449865,2.1464345111527,cell death abnormality protein 1-like,117684731,NC_047568.1,38220698,38236472,phagocytosis,cell organization and biogenesis,P
GO:0006911,0.00262,LOC117686792,0.00475806899790206,-2.27129208695068,multiple epidermal growth factor-like domains protein 11,117686792,NC_047560.1,40638133,40649980,phagocytosis, engulfment,transport,P
GO:0006911,0.00262,LOC117686792,0.00475806899790206,-2.27129208695068,multiple epidermal growth factor-like domains protein 11,117686792,NC_047560.1,40638133,40649980,phagocytosis, engulfment,cell organization and biogenesis,P
GO:0006954,0.000000041233539741,LOC117687051,0.000498801040378888,2.28579185783585,uncharacterized protein LOC117687051 isoform X2,117687051,NC_047560.1,60456579,60462499,inflammatory response,stress response,P
GO:0006971,0.000000036936886314,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286995,hypotonic response,stress response,P
GO:0006971,0.000000036936886314,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286868,hypotonic response,stress response,P
GO:0007043,0.00043,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286995,cell-cell junction assembly,cell organization and biogenesis,P
GO:0007043,0.00043,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286868,cell-cell junction assembly,cell organization and biogenesis,P
GO:0007049,0.00920,LOC117691520,0.00238623952614015,2.07709368617667,uncharacterized protein LOC117691520 isoform X2,117691520,NC_047563.1,8053916,8123190,cell cycle,cell cycle and proliferation,P
GO:0007049,0.00920,LOC117691520,0.00238623952614015,2.07709368617667,uncharacterized protein LOC117691520 isoform X2,117691520,NC_047563.1,8053916,8122220,cell cycle,cell cycle and proliferation,P
GO:0007049,0.00920,LOC105325816,0.000380825433648072,3.34415762441838,uncharacterized protein LOC105325816,105325816,NC_047559.1,52464479,52475232,cell cycle,cell cycle and proliferation,P
GO:0007049,0.00920,LOC105325816,0.000380825433648072,3.34415762441838,uncharacterized protein LOC105325816,105325816,NC_047559.1,52465589,52475232,cell cycle,cell cycle and proliferation,P
GO:0007204,0.00010,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286995,elevation of cytosolic calcium ion concentration,other biological processes,P
GO:0007204,0.00010,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286868,elevation of cytosolic calcium ion concentration,other biological processes,P
GO:0007231,0.000000000035232065,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286995,osmosensory signaling pathway,signal transduction,P
GO:0007231,0.000000000035232065,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286868,osmosensory signaling pathway,signal transduction,P
GO:0007231,0.000000000035232065,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286868,osmosensory signaling pathway,stress response,P
GO:0007231,0.000000000035232065,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286995,osmosensory signaling pathway,stress response,P
GO:0007601,0.00022,LOC117691520,0.00238623952614015,2.07709368617667,uncharacterized protein LOC117691520 isoform X2,117691520,NC_047563.1,8053916,8123190,visual perception,other biological processes,P
GO:0007601,0.00022,LOC117691520,0.00238623952614015,2.07709368617667,uncharacterized protein LOC117691520 isoform X2,117691520,NC_047563.1,8053916,8122220,visual perception,other biological processes,P
GO:0009408,0.000045298865772540,LOC105327005,0.0000000827466026454621,-4.40290245158019,transient receptor potential cation channel subfamily M member 2-like,105327005,NC_047560.1,11210992,11259945,response to heat,stress response,P
GO:0009409,0.00051,LOC105317803,0.0111087665798493,-2.0004741178777,mitochondrial uncoupling protein 2,105317803,NC_047561.1,46420193,46425232,response to cold,stress response,P
GO:0009409,0.00051,LOC105317803,0.0111087665798493,-2.0004741178777,mitochondrial uncoupling protein 2,105317803,NC_047561.1,46420193,46423973,response to cold,stress response,P
GO:0009409,0.00051,LOC105317803,0.0111087665798493,-2.0004741178777,mitochondrial uncoupling protein 2,105317803,NC_047561.1,46420193,46423977,response to cold,stress response,P
GO:0010759,0.000000000277489620,LOC117691429,0.000000369101666229366,-1.56755281655859,uncharacterized protein LOC117691429,117691429,NC_047563.1,49282185,49286995,positive regulation of macrophage chemotaxis,other biological processes,P
