gene,padj,log2FoldChange,description,product_accession,GeneID,genomic_accession,start,end,GOID,GOterm,GOSlim,GOcat
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_011457448.3,105348135,NC_047563.1,34551793,34553312,GO:0010629,negative regulation of gene expression,other metabolic processes,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_011457448.3,105348135,NC_047563.1,34551793,34553312,GO:0042347,negative regulation of NF-kappaB import into nucleus,transport,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_011457448.3,105348135,NC_047563.1,34551793,34553312,GO:0045444,fat cell differentiation,other biological processes,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_011457448.3,105348135,NC_047563.1,34551793,34553312,GO:0045721,negative regulation of gluconeogenesis,other metabolic processes,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_011457448.3,105348135,NC_047563.1,34551793,34553312,GO:0050715,positive regulation of cytokine secretion,transport,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_011457448.3,105348135,NC_047563.1,34551793,34553312,GO:0050728,negative regulation of inflammatory response,stress response,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_011457448.3,105348135,NC_047563.1,34551793,34553312,GO:0070165,positive regulation of adiponectin secretion,cell-cell signaling,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_011457448.3,105348135,NC_047563.1,34551793,34553312,GO:0070165,positive regulation of adiponectin secretion,transport,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_011457448.3,105348135,NC_047563.1,34551793,34553312,GO:0070206,protein trimerization,cell organization and biogenesis,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_034476074.1,105348135,NC_047563.1,34551834,34553312,GO:0010629,negative regulation of gene expression,other metabolic processes,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_034476074.1,105348135,NC_047563.1,34551834,34553312,GO:0042347,negative regulation of NF-kappaB import into nucleus,transport,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_034476074.1,105348135,NC_047563.1,34551834,34553312,GO:0045444,fat cell differentiation,other biological processes,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_034476074.1,105348135,NC_047563.1,34551834,34553312,GO:0045721,negative regulation of gluconeogenesis,other metabolic processes,P
LOC105348135,2.2501118006338e-06,3.65918949956071,uncharacterized protein LOC105348135,XM_034476074.1,105348135,NC_047563.1,34551834,34553312,GO:0050715,positive regulation of cytokine secretion,transport,P
