GOID,p.value,gene,padj,log2FoldChange,description,GeneID,genomic_accession,start,end,GOterm,GOSlim,GOcat
GO:0000122,0.00000289347666184593080,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970574,negative regulation of transcription from RNA polymerase II promoter,RNA metabolism,P
GO:0000122,0.00000289347666184593080,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970573,negative regulation of transcription from RNA polymerase II promoter,RNA metabolism,P
GO:0000902,0.00787,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19155722,cell morphogenesis,cell organization and biogenesis,P
GO:0000902,0.00787,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19154982,cell morphogenesis,cell organization and biogenesis,P
GO:0001503,0.00030,LOC105325985,0.00132102564523981,1.89923778352132,uncharacterized protein LOC105325985,105325985,NC_047566.1,54320912,54347250,ossification,developmental processes,P
GO:0001556,0.00005094116353928830485,LOC105346676,0.000122050870283925,-1.61440132636442,mitotic apparatus protein p62 isoform X2,105346676,NC_047562.1,27434851,27444447,oocyte maturation,other biological processes,P
GO:0001822,0.00123,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,kidney development,developmental processes,P
GO:0001822,0.00123,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,kidney development,developmental processes,P
GO:0001822,0.00123,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,kidney development,developmental processes,P
GO:0001822,0.00123,LOC105322227,0.00255799958384532,2.48821551777984,low-density lipoprotein receptor-related protein 4,105322227,NC_047562.1,38553445,38573273,kidney development,developmental processes,P
GO:0001932,0.00660,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,regulation of protein amino acid phosphorylation,protein metabolism,P
GO:0001942,0.00000016093176289251453,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,hair follicle development,developmental processes,P
GO:0001942,0.00000016093176289251453,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,hair follicle development,developmental processes,P
GO:0001942,0.00000016093176289251453,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,hair follicle development,developmental processes,P
GO:0001942,0.00000016093176289251453,LOC105322227,0.00255799958384532,2.48821551777984,low-density lipoprotein receptor-related protein 4,105322227,NC_047562.1,38553445,38573273,hair follicle development,developmental processes,P
GO:0006589,0.00092,LOC105342404,0.00118071394690547,-1.65731803112925,tyramine beta-hydroxylase,105342404,NC_047560.1,26732838,26742060,octopamine biosynthetic process,cell-cell signaling,P
GO:0006589,0.00092,LOC105342404,0.00118071394690547,-1.65731803112925,tyramine beta-hydroxylase,105342404,NC_047560.1,26732838,26742060,octopamine biosynthetic process,other metabolic processes,P
GO:0006589,0.00092,LOC105348387,0.0000510518026344462,-1.73809089096617,tyramine beta-hydroxylase,105348387,NC_047560.1,26770247,26782398,octopamine biosynthetic process,other metabolic processes,P
