gene,padj,log2FoldChange,description,product_accession,GeneID,genomic_accession,start,end,GOID,GOterm,GOSlim,GOcat
LOC105334510,0.000000000000000000000000000139886056144711,8.58107091241137,heat shock protein 68,XM_011437990.3,105334510,NC_047568.1,13479850,13482229,GO:0005524,ATP binding,other molecular function,F
LOC117680673,0.0000000000000000000000000250443919238366,8.30477968198114,heat shock protein 68-like,XM_034457811.1,117680673,NC_047568.1,13484325,13486654,GO:0005524,ATP binding,other molecular function,F
LOC105348304,0.0000000000000000000000000250443919238366,8.30113433754818,heat shock protein 68,XM_011457656.3,105348304,NC_047568.1,13495588,13497937,GO:0005524,ATP binding,other molecular function,F
LOC105346578,0.000000000479987688525577,4.80862455127903,major egg antigen,XM_011455219.3,105346578,NC_047563.1,23478623,23479833,GO:0051082,unfolded protein binding,other molecular function,F
LOC105334234,0.000000000351940487585208,4.05479495376993,heat shock protein 70 B2,XM_011437603.3,105334234,NC_047566.1,23460291,23462949,GO:0005524,ATP binding,other molecular function,F
LOC105343216,0.000000000740891742855696,3.48583841147549,heat shock protein 27,XM_011450479.3,105343216,NW_022994901.1,45618,46405,GO:0005212,structural constituent of eye lens,other molecular function,F
LOC105343216,0.000000000740891742855696,3.48583841147549,heat shock protein 27,XM_011450479.3,105343216,NW_022994901.1,45618,46405,GO:0042803,protein homodimerization activity,other molecular function,F
LOC105343216,0.000000000740891742855696,3.48583841147549,heat shock protein 27,XM_011450479.3,105343216,NW_022994901.1,45618,46405,GO:0051082,unfolded protein binding,other molecular function,F
LOC105343216,0.000000000740891742855696,3.48583841147549,heat shock protein 27,XM_011450479.3,105343216,NW_022994901.1,45618,46405,GO:0051087,chaperone binding,other molecular function,F
LOC105334580,0.00000000148062867456543,3.47873712164228,BAG family molecular chaperone regulator 3,XM_011438102.3,105334580,NC_047559.1,54643072,54645125,GO:0000774,adenyl-nucleotide exchange factor activity,enzyme regulator activity,F
LOC105334580,0.00000000148062867456543,3.47873712164228,BAG family molecular chaperone regulator 3,XM_011438102.3,105334580,NC_047559.1,54643072,54645125,GO:0003723,RNA binding,nucleic acid binding activity,F
LOC105334580,0.00000000148062867456543,3.47873712164228,BAG family molecular chaperone regulator 3,XM_011438102.3,105334580,NC_047559.1,54643072,54645125,GO:0005057,receptor signaling protein activity,signal transduction activity,F
LOC105334580,0.00000000148062867456543,3.47873712164228,BAG family molecular chaperone regulator 3,XM_011438102.3,105334580,NC_047559.1,54643072,54645125,GO:0031625,ubiquitin protein ligase binding,other molecular function,F
LOC105334580,0.00000000148062867456543,3.47873712164228,BAG family molecular chaperone regulator 3,XM_011438102.3,105334580,NC_047559.1,54643072,54645125,GO:0051087,chaperone binding,other molecular function,F
LOC117681182,0.00000000718585427672727,3.26511090644423,uncharacterized protein LOC117681182,XM_034444588.1,117681182,NC_047565.1,57238633,57240407,GO:0003723,RNA binding,nucleic acid binding activity,F
LOC117681182,0.00000000718585427672727,3.26511090644423,uncharacterized protein LOC117681182,XM_034444588.1,117681182,NC_047565.1,57238633,57240407,GO:0004843,ubiquitin-specific protease activity,other molecular function,F
LOC105327005,0.0000460685578757799,3.24310339618602,transient receptor potential cation channel subfamily M member 2-like,XM_034463160.1,105327005,NC_047560.1,11210992,11259945,GO:0005261,cation channel activity,transporter activity,F
LOC105327005,0.0000460685578757799,3.24310339618602,transient receptor potential cation channel subfamily M member 2-like,XM_034463160.1,105327005,NC_047560.1,11210992,11259945,GO:0005272,sodium channel activity,transporter activity,F
LOC105327005,0.0000460685578757799,3.24310339618602,transient receptor potential cation channel subfamily M member 2-like,XM_034463160.1,105327005,NC_047560.1,11210992,11259945,GO:0005384,manganese ion transmembrane transporter activity,transporter activity,F
LOC105327005,0.0000460685578757799,3.24310339618602,transient receptor potential cation channel subfamily M member 2-like,XM_034463160.1,105327005,NC_047560.1,11210992,11259945,GO:0005509,calcium ion binding,other molecular function,F
LOC105327005,0.0000460685578757799,3.24310339618602,transient receptor potential cation channel subfamily M member 2-like,XM_034463160.1,105327005,NC_047560.1,11210992,11259945,GO:0015278,calcium-release channel activity,transporter activity,F
LOC117688712,0.000169290892483913,3.11078672047381,multiple epidermal growth factor-like domains protein 6,XM_034466924.1,117688712,NC_047560.1,42248886,42261236,GO:0005044,scavenger receptor activity,signal transduction activity,F
LOC117688712,0.000169290892483913,3.11078672047381,multiple epidermal growth factor-like domains protein 6,XM_034466924.1,117688712,NC_047560.1,42248886,42261236,GO:0030169,low-density lipoprotein binding,other molecular function,F
LOC117680358,0.0000199001983655063,2.8548021090428,baculoviral IAP repeat-containing protein 2-like,XM_034479721.1,117680358,NC_047563.1,56690045,56697010,GO:0004842,ubiquitin-protein ligase activity,other molecular function,F
LOC117680358,0.0000199001983655063,2.8548021090428,baculoviral IAP repeat-containing protein 2-like,XM_034479721.1,117680358,NC_047563.1,56690045,56697010,GO:0016740,transferase activity,other molecular function,F
LOC117680358,0.0000199001983655063,2.8548021090428,baculoviral IAP repeat-containing protein 2-like,XM_034479721.1,117680358,NC_047563.1,56690045,56697010,GO:0043027,caspase inhibitor activity,enzyme regulator activity,F
LOC117680358,0.0000199001983655063,2.8548021090428,baculoviral IAP repeat-containing protein 2-like,XM_034479721.1,117680358,NC_047563.1,56690045,56697010,GO:0046872,metal ion binding,other molecular function,F
LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_020063844.2,105319646,NC_047560.1,64650674,64653861,GO:0030246,carbohydrate binding,other molecular function,F
LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_020063843.2,105319646,NC_047560.1,64650674,64653861,GO:0030246,carbohydrate binding,other molecular function,F
LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417255.3,105319646,NC_047560.1,64650674,64653861,GO:0030246,carbohydrate binding,other molecular function,F
LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417253.3,105319646,NC_047560.1,64650674,64653861,GO:0030246,carbohydrate binding,other molecular function,F
LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417256.3,105319646,NC_047560.1,64650674,64653859,GO:0030246,carbohydrate binding,other molecular function,F
LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417252.3,105319646,NC_047560.1,64650674,64653859,GO:0008329,pattern recognition receptor activity,signal transduction activity,F
LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417252.3,105319646,NC_047560.1,64650674,64653859,GO:0030169,low-density lipoprotein binding,other molecular function,F
