GOID,p.value,gene,padj,log2FoldChange,description,product_accession,GeneID,genomic_accession,start,end,GOterm,GOSlim,GOcat
GO:0002224,0.00062,LOC105347308,0.00583422564326735,-2.26974154257387,myeloid differentiation primary response protein MyD88,XM_011456322.3,105347308,NC_047559.1,40502969,40504901,toll-like receptor signaling pathway,stress response,P
GO:0002224,0.00062,LOC105347308,0.00583422564326735,-2.26974154257387,myeloid differentiation primary response protein MyD88,XM_011456322.3,105347308,NC_047559.1,40502969,40504901,toll-like receptor signaling pathway,signal transduction,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417253.3,105319646,NC_047560.1,64650674,64653861,endocytosis,transport,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417255.3,105319646,NC_047560.1,64650674,64653861,endocytosis,transport,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_020063843.2,105319646,NC_047560.1,64650674,64653861,endocytosis,transport,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417256.3,105319646,NC_047560.1,64650674,64653859,endocytosis,transport,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_020063844.2,105319646,NC_047560.1,64650674,64653861,endocytosis,transport,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417255.3,105319646,NC_047560.1,64650674,64653861,endocytosis,cell organization and biogenesis,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417256.3,105319646,NC_047560.1,64650674,64653859,endocytosis,cell organization and biogenesis,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417253.3,105319646,NC_047560.1,64650674,64653861,endocytosis,cell organization and biogenesis,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417254.3,105319646,NC_047560.1,64650674,64653858,endocytosis,cell organization and biogenesis,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_020063843.2,105319646,NC_047560.1,64650674,64653861,endocytosis,cell organization and biogenesis,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_011417254.3,105319646,NC_047560.1,64650674,64653858,endocytosis,transport,P
GO:0006897,0.00006419,LOC105319646,0.0000195779932504486,2.60460356063011,C-type lectin domain family 4 member M isoform X7,XM_020063844.2,105319646,NC_047560.1,64650674,64653861,endocytosis,cell organization and biogenesis,P
GO:0006915,0.00005961,LOC105318237,0.00439884910457394,2.1441370280064,trichohyalin isoform X1,XM_034476164.1,105318237,NC_047563.1,5616833,5658231,apoptosis,death,P
GO:0006915,0.00005961,LOC105318237,0.00439884910457394,2.1441370280064,trichohyalin isoform X1,XM_034476163.1,105318237,NC_047563.1,5616833,5660500,apoptosis,death,P
GO:0006915,0.00005961,LOC105347308,0.00583422564326735,-2.26974154257387,myeloid differentiation primary response protein MyD88,XM_011456322.3,105347308,NC_047559.1,40502969,40504901,apoptosis,death,P
GO:0006915,0.00005961,LOC105318237,0.00439884910457394,2.1441370280064,trichohyalin isoform X1,XM_034476154.1,105318237,NC_047563.1,5616833,5660500,apoptosis,death,P
