GOID,p.value,gene,padj,log2FoldChange,description,GeneID,genomic_accession,start,end,GOterm,GOSlim,GOcat
GO:0001539,0.00012,LOC105319445,0.0352693643203094,-0.353845987862026,dynein heavy chain 6; axonemal isoform X1,105319445,NC_047560.1,8381421,8431133,ciliary or flagellar motility,other biological processes,P
GO:0001992,0.00070,LOC105320994,0.0127329872969548,-0.68688649365329,mesotocin receptor isoform X1,105320994,NC_047565.1,54547352,54551395,regulation of systemic arterial blood pressure by vasopressin,other biological processes,P
GO:0001992,0.00070,LOC105320994,0.0127329872969548,-0.68688649365329,mesotocin receptor isoform X1,105320994,NC_047565.1,54547357,54553986,regulation of systemic arterial blood pressure by vasopressin,other biological processes,P
GO:0002407,0.00606,LOC105327005,8.97827982776307e-05,3.20325148192568,transient receptor potential cation channel subfamily M member 2-like,105327005,NC_047560.1,11210992,11259945,dendritic cell chemotaxis,other biological processes,P
GO:0002407,0.00606,LOC105331961,0.047141264168253,-0.580411511827856,transient receptor potential cation channel subfamily M member 2 isoform X1,105331961,NC_047563.1,63613284,63635845,dendritic cell chemotaxis,other biological processes,P
GO:0002407,0.00606,LOC105331961,0.047141264168253,-0.580411511827856,transient receptor potential cation channel subfamily M member 2 isoform X1,105331961,NC_047563.1,63613283,63635856,dendritic cell chemotaxis,other biological processes,P
GO:0002407,0.00606,LOC105331961,0.047141264168253,-0.580411511827856,transient receptor potential cation channel subfamily M member 2 isoform X1,105331961,NC_047563.1,63613284,63633473,dendritic cell chemotaxis,other biological processes,P
GO:0002674,0.00666,LOC105320049,0.038386028592609,0.645124014280194,glutathione S-transferase P 1 isoform X1,105320049,NC_047563.1,10661164,10664242,negative regulation of acute inflammatory response,stress response,P
GO:0002674,0.00666,LOC105320049,0.038386028592609,0.645124014280194,glutathione S-transferase P 1 isoform X1,105320049,NC_047563.1,10661164,10664626,negative regulation of acute inflammatory response,stress response,P
GO:0006069,0.00070,LOC105336470,0.0413978429787677,0.365446035236456,alcohol dehydrogenase class-3 isoform X1,105336470,NC_047568.1,54198046,54210212,ethanol oxidation,other metabolic processes,P
GO:0006069,0.00070,LOC105336470,0.0413978429787677,0.365446035236456,alcohol dehydrogenase class-3 isoform X1,105336470,NC_047568.1,54198365,54210212,ethanol oxidation,other metabolic processes,P
GO:0006352,0.00373,LOC105339649,0.00266257677073264,0.404338211114145,transcription initiation factor TFIID subunit 1,105339649,NC_047565.1,57630715,57647843,transcription initiation,RNA metabolism,P
GO:0006352,0.00373,LOC105339649,0.00266257677073264,0.404338211114145,transcription initiation factor TFIID subunit 1,105339649,NC_047565.1,57630715,57647843,transcription initiation,cell organization and biogenesis,P
GO:0006367,0.00044,LOC105329337,0.00762548041963384,0.695283037785973,DNA-directed RNA polymerase II subunit RPB9,105329337,NC_047561.1,56394499,56398901,transcription initiation from RNA polymerase II promoter,RNA metabolism,P
GO:0006367,0.00044,LOC105328977,0.0395269238939839,-0.324985741010733,general transcription factor IIF subunit 1 isoform X1,105328977,NC_047568.1,26610219,26621087,transcription initiation from RNA polymerase II promoter,RNA metabolism,P
GO:0006367,0.00044,LOC105329337,0.00762548041963384,0.695283037785973,DNA-directed RNA polymerase II subunit RPB9,105329337,NC_047561.1,56394499,56398901,transcription initiation from RNA polymerase II promoter,cell organization and biogenesis,P
GO:0006367,0.00044,LOC105328977,0.0395269238939839,-0.324985741010733,general transcription factor IIF subunit 1 isoform X1,105328977,NC_047568.1,26673321,26684955,transcription initiation from RNA polymerase II promoter,cell organization and biogenesis,P
GO:0006367,0.00044,LOC105331184,0.0493453908552859,0.54541802452889,nuclear receptor ROR-beta isoform X1,105331184,NC_047559.1,33376653,33382124,transcription initiation from RNA polymerase II promoter,RNA metabolism,P
GO:0006367,0.00044,LOC105339649,0.00266257677073264,0.404338211114145,transcription initiation factor TFIID subunit 1,105339649,NC_047565.1,57630715,57647843,transcription initiation from RNA polymerase II promoter,cell organization and biogenesis,P
GO:0006367,0.00044,LOC105331184,0.0493453908552859,0.54541802452889,nuclear receptor ROR-beta isoform X1,105331184,NC_047559.1,33376653,33382124,transcription initiation from RNA polymerase II promoter,cell organization and biogenesis,P
GO:0006367,0.00044,LOC105328977,0.0395269238939839,-0.324985741010733,general transcription factor IIF subunit 1 isoform X1,105328977,NC_047568.1,26610219,26684956,transcription initiation from RNA polymerase II promoter,cell organization and biogenesis,P
GO:0006367,0.00044,LOC105330271,0.0101903950747367,0.635565524318118,CDK-activating kinase assembly factor MAT1,105330271,NC_047561.1,38650332,38654290,transcription initiation from RNA polymerase II promoter,RNA metabolism,P
GO:0006367,0.00044,LOC105339649,0.00266257677073264,0.404338211114145,transcription initiation factor TFIID subunit 1,105339649,NC_047565.1,57630715,57647843,transcription initiation from RNA polymerase II promoter,RNA metabolism,P
GO:0006367,0.00044,LOC105328977,0.0395269238939839,-0.324985741010733,general transcription factor IIF subunit 1 isoform X1,105328977,NC_047568.1,26610219,26621087,transcription initiation from RNA polymerase II promoter,cell organization and biogenesis,P
GO:0006367,0.00044,LOC105328977,0.0395269238939839,-0.324985741010733,general transcription factor IIF subunit 1 isoform X1,105328977,NC_047568.1,26673321,26684955,transcription initiation from RNA polymerase II promoter,RNA metabolism,P
GO:0006367,0.00044,LOC105328977,0.0395269238939839,-0.324985741010733,general transcription factor IIF subunit 1 isoform X1,105328977,NC_047568.1,26610219,26684956,transcription initiation from RNA polymerase II promoter,RNA metabolism,P
GO:0006367,0.00044,LOC105330271,0.0101903950747367,0.635565524318118,CDK-activating kinase assembly factor MAT1,105330271,NC_047561.1,38650332,38654290,transcription initiation from RNA polymerase II promoter,cell organization and biogenesis,P
GO:0006368,0.00233,LOC105342792,0.0025428064555451,-0.412781581617321,RNA polymerase-associated protein RTF1 homolog,105342792,NC_047561.1,11063862,11076159,RNA elongation from RNA polymerase II promoter,RNA metabolism,P
GO:0006368,0.00233,LOC105330271,0.0101903950747367,0.635565524318118,CDK-activating kinase assembly factor MAT1,105330271,NC_047561.1,38650332,38654290,RNA elongation from RNA polymerase II promoter,RNA metabolism,P
GO:0006368,0.00233,LOC105339649,0.00266257677073264,0.404338211114145,transcription initiation factor TFIID subunit 1,105339649,NC_047565.1,57630715,57647843,RNA elongation from RNA polymerase II promoter,RNA metabolism,P
GO:0006464,0.00380,LOC117680503,0.0237401998031959,-0.771824228812624,uncharacterized protein LOC117680503,117680503,NC_047568.1,5014331,5033300,protein modification process,protein metabolism,P
GO:0006468,0.00551,LOC105318054,0.0207417571129207,0.373070754980897,uncharacterized protein LOC105318054 isoform X10,105318054,NC_047564.1,49366001,49381811,protein amino acid phosphorylation,protein metabolism,P
GO:0006468,0.00551,LOC105318054,0.0207417571129207,0.373070754980897,uncharacterized protein LOC105318054 isoform X10,105318054,NC_047564.1,49366001,49387245,protein amino acid phosphorylation,protein metabolism,P
GO:0006468,0.00551,LOC105318054,0.0207417571129207,0.373070754980897,uncharacterized protein LOC105318054 isoform X10,105318054,NC_047564.1,49366001,49396111,protein amino acid phosphorylation,protein metabolism,P
GO:0006468,0.00551,LOC105333342,0.0467719036333157,-0.29232626061832,MAP/microtubule affinity-regulating kinase 3 isoform X10,105333342,NC_047561.1,29572411,29603670,protein amino acid phosphorylation,protein metabolism,P
GO:0006468,0.00551,LOC105333995,0.0165496248223722,0.530050882548075,uncharacterized protein LOC105333995,105333995,NC_047567.1,27525811,27535855,protein amino acid phosphorylation,protein metabolism,P
GO:0006468,0.00551,LOC105324821,0.00902067111447572,0.893355559604168,uncharacterized protein LOC105324821,105324821,NC_047564.1,35080360,35084693,protein amino acid phosphorylation,protein metabolism,P
