GOID,p.value,gene,padj,log2FoldChange,description,product_accession,GeneID,genomic_accession,start,end,GOterm,GOSlim,GOcat
GO:0001539,0.00012,LOC105319445,0.0352693643203094,-0.353845987862026,dynein heavy chain 6; axonemal isoform X1,XM_034465424.1,105319445,NC_047560.1,8381421,8431133,ciliary or flagellar motility,other biological processes,P
GO:0001539,0.00012,LOC105319445,0.0352693643203094,-0.353845987862026,dynein heavy chain 6; axonemal isoform X1,XM_034465422.1,105319445,NC_047560.1,8381421,8431133,ciliary or flagellar motility,other biological processes,P
GO:0001539,0.00012,LOC105319445,0.0352693643203094,-0.353845987862026,dynein heavy chain 6; axonemal isoform X1,XM_034465425.1,105319445,NC_047560.1,8381421,8431133,ciliary or flagellar motility,other biological processes,P
GO:0001539,0.00012,LOC105319445,0.0352693643203094,-0.353845987862026,dynein heavy chain 6; axonemal isoform X1,XM_034465423.1,105319445,NC_047560.1,8381421,8431133,ciliary or flagellar motility,other biological processes,P
GO:0001992,0.00070,LOC105320994,0.0127329872969548,-0.68688649365329,mesotocin receptor isoform X1,XM_034447434.1,105320994,NC_047565.1,54547352,54551395,regulation of systemic arterial blood pressure by vasopressin,other biological processes,P
GO:0001992,0.00070,LOC105320994,0.0127329872969548,-0.68688649365329,mesotocin receptor isoform X1,XM_011419146.3,105320994,NC_047565.1,54547357,54553986,regulation of systemic arterial blood pressure by vasopressin,other biological processes,P
GO:0002407,0.00606,LOC105327005,8.97827982776307e-05,3.20325148192568,transient receptor potential cation channel subfamily M member 2-like,XM_034463160.1,105327005,NC_047560.1,11210992,11259945,dendritic cell chemotaxis,other biological processes,P
GO:0002407,0.00606,LOC105331961,0.047141264168253,-0.580411511827856,transient receptor potential cation channel subfamily M member 2 isoform X1,XM_034478505.1,105331961,NC_047563.1,63613284,63635845,dendritic cell chemotaxis,other biological processes,P
GO:0002407,0.00606,LOC105331961,0.047141264168253,-0.580411511827856,transient receptor potential cation channel subfamily M member 2 isoform X1,XM_034478504.1,105331961,NC_047563.1,63613283,63635856,dendritic cell chemotaxis,other biological processes,P
GO:0002407,0.00606,LOC105331961,0.047141264168253,-0.580411511827856,transient receptor potential cation channel subfamily M member 2 isoform X1,XM_011434361.3,105331961,NC_047563.1,63613284,63633473,dendritic cell chemotaxis,other biological processes,P
GO:0002674,0.00666,LOC105320049,0.038386028592609,0.645124014280194,glutathione S-transferase P 1 isoform X1,XM_034478001.1,105320049,NC_047563.1,10661164,10664242,negative regulation of acute inflammatory response,stress response,P
GO:0002674,0.00666,LOC105320049,0.038386028592609,0.645124014280194,glutathione S-transferase P 1 isoform X1,XM_034478002.1,105320049,NC_047563.1,10661164,10664626,negative regulation of acute inflammatory response,stress response,P
GO:0006069,0.00070,LOC105336470,0.0413978429787677,0.365446035236456,alcohol dehydrogenase class-3 isoform X1,XM_034456933.1,105336470,NC_047568.1,54198046,54210212,ethanol oxidation,other metabolic processes,P
GO:0006069,0.00070,LOC105336470,0.0413978429787677,0.365446035236456,alcohol dehydrogenase class-3 isoform X1,XM_034456934.1,105336470,NC_047568.1,54198365,54210212,ethanol oxidation,other metabolic processes,P
GO:0006352,0.00373,LOC105339649,0.00266257677073264,0.404338211114145,transcription initiation factor TFIID subunit 1,XM_011445286.3,105339649,NC_047565.1,57630715,57647843,transcription initiation,RNA metabolism,P
GO:0006352,0.00373,LOC105339649,0.00266257677073264,0.404338211114145,transcription initiation factor TFIID subunit 1,XM_011445286.3,105339649,NC_047565.1,57630715,57647843,transcription initiation,cell organization and biogenesis,P
GO:0006367,0.00044,LOC105329337,0.00762548041963384,0.695283037785973,DNA-directed RNA polymerase II subunit RPB9,XM_011430533.3,105329337,NC_047561.1,56394499,56398901,transcription initiation from RNA polymerase II promoter,RNA metabolism,P
