"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "cat" "description" "feature" "count" "plus_minus" "analysis"
"LOC105327005" 88.9289448083244 4.10253422836767 0.764517972591885 3.71859342704802e-09 8.90772152751958e-07 "characterized" "transient receptor potential cation channel subfamily M member 2-like" "genome" 1 "1" "triploid_heat"
"LOC105319646" 82.1384765703941 3.3236170879331 0.629325121877884 5.94267334983718e-09 1.33673914558228e-06 "characterized" "C-type lectin domain family 4 member M isoform X7" "genome" 1 "1" "triploid_heat"
"LOC105318831" 69.1787493341747 2.55352815862802 0.489880668290449 8.90956781402533e-09 1.88893078539882e-06 "characterized" "epithelial membrane protein 3" "genome" 1 "1" "triploid_heat"
"LOC105318237" 171.124237168183 2.36097483205743 0.651297113868507 1.17770011104209e-05 0.000819723718798917 "characterized" "trichohyalin isoform X1" "genome" 1 "1" "triploid_heat"
"LOC117680708" 62.5312553906294 2.34622743485107 0.19927144903615 3.18410123742144e-33 4.57971057710118e-29 "characterized" "serine/arginine-rich splicing factor 1-like" "genome" 1 "1" "triploid_heat"
"LOC105319208" 246.900230006057 2.26000836581348 0.381651050172975 1.66737294900586e-10 5.80277246121e-08 "characterized" "spliceosome RNA helicase DDX39B" "genome" 1 "1" "triploid_heat"
"LOC105337016" 153.831776347211 2.25026531801024 0.303187066513594 6.15539545848961e-15 6.30757051288005e-12 "characterized" "cyclic AMP-dependent transcription factor ATF-3" "genome" 1 "1" "triploid_heat"
"LOC105328062" 11.9002437188232 2.24982420256409 0.539640690270132 1.41065396109259e-06 0.000136944801643962 "characterized" "baculoviral IAP repeat-containing protein 2" "genome" 1 "1" "triploid_heat"
"LOC105330649" 47.2326399973484 2.16550742624453 0.459224451129211 1.10769649736569e-07 1.54783802226592e-05 "characterized" "galaxin-like" "genome" 1 "1" "triploid_heat"
"LOCNA.14" 1950.9732520018 2.04807270972298 0.198611101236607 2.37820323145209e-26 6.26656551487625e-23 "characterized" NA NA 1 "1" "triploid_heat"
"LOC105326635" 42.8529878399247 2.04748070162947 0.553862347948747 9.16513027662709e-06 0.000660354796689011 "characterized" "basic salivary proline-rich protein 4" "genome" 1 "1" "triploid_heat"
"LOC105341388" 100.994263154446 2.02691786045718 0.211507925534657 5.63651277646837e-23 1.29956847702449e-19 "characterized" "protein disulfide-isomerase A6 isoform X1" "genome" 1 "1" "triploid_heat"
"LOC105340370" 1099.52486888899 1.99546884777177 0.212802197298956 3.92701065089185e-22 7.24337114557003e-19 "characterized" "78 kDa glucose-regulated protein precursor" "genome" 1 "1" "triploid_heat"
"LOC105345989" 1762.50700569179 1.96957608020172 0.296496416427227 1.79112635488928e-12 1.0324164254979e-09 "characterized" "heat shock protein 83-like" "genome" 1 "1" "triploid_heat"
"LOC105324591" 26.5040235623927 1.94519100075591 0.907440943009842 0.000887909953077505 0.0195669045215228 "characterized" "multiple epidermal growth factor-like domains protein 11 isoform X1" "genome" 1 "1" "triploid_heat"
"LOC117688712" 13.9681756557497 1.93936677140689 0.800861076061215 0.000499024068639146 0.0130560268738284 "characterized" "multiple epidermal growth factor-like domains protein 6" "genome" 1 "1" "triploid_heat"
"LOC117680291" 1884.802219928 1.87130313357159 0.287649400586707 4.53528087174446e-12 2.32370154664796e-09 "characterized" "heat shock protein 83-like" "genome" 1 "1" "triploid_heat"
"LOC105337716" 40.6818012060015 1.82578903432107 0.509708299449146 1.42937051294438e-05 0.000951795635785527 "characterized" "transcription factor jun-B isoform X1" "genome" 1 "1" "triploid_heat"
"LOC105325010" 237.636648454971 1.81595954828579 0.274086991504969 1.96579610889011e-12 1.09876088571145e-09 "characterized" "hypoxia up-regulated protein 1 isoform X2" "genome" 1 "1" "triploid_heat"
"LOC105326121" 96.8596375304183 1.80820710787075 0.206947994055539 1.33268880613526e-19 1.7558175020832e-16 "characterized" "cysteine-rich with EGF-like domain protein 2-B isoform X2" "genome" 1 "1" "triploid_heat"
"LOC117684211" 10.6503191570115 1.69519799850366 0.627450892006098 0.000270859132072449 0.0084534630982679 "characterized" "hemicentin-2-like" "genome" 1 "1" "triploid_heat"
"LOC105338176" 14.991634646798 1.66540578225133 1.05988599812416 0.00248631754138005 0.0398783713484826 "characterized" "transmembrane protease serine 2" "genome" 1 "1" "triploid_heat"
"LOC105338780" 83.6096703829972 1.60395746601868 0.212969164814728 2.86070009940285e-15 3.10385960785209e-12 "characterized" "E3 ubiquitin-protein ligase RNF14 isoform X1" "genome" 1 "1" "triploid_heat"
"LOC105320749" 75.8697551967026 1.57327441653433 0.228357840312941 3.2658444592766e-13 2.2310555944947e-10 "characterized" "2',5'-phosphodiesterase 12 isoform X1" "genome" 1 "1" "triploid_heat"
"LOC117680475" 169.522117339757 1.53461360914767 0.363720146056975 1.21012306285617e-06 0.000120003870399903 "characterized" "eosinophil peroxidase-like" "genome" 1 "1" "triploid_heat"
"LOC105321218" 41.1763220855608 1.51168493733362 0.241979508944076 2.20069971608882e-11 9.66473958649008e-09 "characterized" "F-box/LRR-repeat protein 6-like" "genome" 1 "1" "triploid_heat"
"LOC117688295" 15.4645893444264 1.50410320606873 0.713010409242711 0.00109135786314738 0.0226435273180579 "characterized" "collectin-12-like" "genome" 1 "1" "triploid_heat"
"LOC105330939" 10.4778713786462 -1.50813204375798 0.710555107744812 0.00092243030414043 0.0200403144403654 "characterized" "microfibril-associated glycoprotein 4-like" "genome" 1 "-1" "triploid_heat"
"LOC105339247" 74.3002826339132 -1.52616708204678 0.261050486273462 2.42129581356274e-10 7.97514308592227e-08 "characterized" "aldose 1-epimerase" "genome" 1 "-1" "triploid_heat"
"LOC105331115" 19.6258459523368 -1.64650609440076 0.320554624119781 1.39239606993507e-08 2.85363838999472e-06 "characterized" "pyrroline-5-carboxylate reductase 3" "genome" 1 "-1" "triploid_heat"
"LOC105343727" 48.0902122603253 -1.66480746124584 0.298884033771015 1.26766898268271e-09 3.38871802689602e-07 "characterized" "collagen alpha-3(VI) chain-like" "genome" 1 "-1" "triploid_heat"
"LOC105348479" 156.657635090328 -1.66508797678558 0.381378547723417 5.40346436886896e-07 6.15227779529555e-05 "characterized" "very low-density lipoprotein receptor" "genome" 1 "-1" "triploid_heat"
"LOC117684617" 24.6271671711477 -1.68411513167455 0.478967034914312 1.70173202177563e-05 0.00110522701202998 "characterized" "cilia- and flagella-associated protein 57-like" "genome" 1 "-1" "triploid_heat"
"LOC105338367" 20.8129796104897 -1.69006939511489 0.492316281039438 2.3753577160394e-05 0.00142714896001129 "characterized" "interferon-induced protein 44-like" "genome" 1 "-1" "triploid_heat"
"LOC105329128" 101.423953587146 -1.69082376423128 0.621308103273505 0.000201312943706848 0.00678833134675101 "characterized" "complement C1q tumor necrosis factor-related protein 3" "genome" 1 "-1" "triploid_heat"
"LOC117691511" 42.042696857976 -1.72073157143225 0.46104464664665 7.44814112455487e-06 0.000558459199359409 "characterized" "ryncolin-4-like" "genome" 1 "-1" "triploid_heat"
"LOC117681168" 165.68229572613 -1.72849663844978 0.331531875978048 8.20789545021486e-09 1.76040269278155e-06 "characterized" "complement C1q-like protein 3 isoform X2" "genome" 1 "-1" "triploid_heat"
"LOC105317162" 937.807169602034 -1.78758621844713 0.252494383256072 6.4435163304238e-14 5.4023026688485e-11 "characterized" "adenosylhomocysteinase A" "genome" 1 "-1" "triploid_heat"
"LOC105340239" 69.1572761157769 -1.80225114896503 0.279378807570558 5.19177085070854e-12 2.58816792814375e-09 "characterized" "A disintegrin and metalloproteinase with thrombospondin motifs gon-1" "genome" 1 "-1" "triploid_heat"
"LOC105344085" 2246.79895105356 -1.80632096858176 0.169054418705511 7.45887534585517e-28 2.75157911508597e-24 "characterized" "nucleolin isoform X1" "genome" 1 "-1" "triploid_heat"
"LOC105326729" 13.1656994558684 -1.82296771234221 0.45911301653814 2.92507259243975e-06 0.000256918876035958 "characterized" "complement C1q-like protein 3" "genome" 1 "-1" "triploid_heat"
"LOC105345449" 76.2218651526586 -1.85055630348249 0.628469674524588 0.000103088649107126 0.00424551158802215 "characterized" "fucolectin-7-like" "genome" 1 "-1" "triploid_heat"
"LOCNA.11" 152.428717414994 -1.87281999843244 0.170848704349456 3.14276635378764e-29 1.9322775131871e-25 "characterized" NA NA 1 "-1" "triploid_heat"
"LOC105338755" 329.918652357418 -1.89088652746991 0.201627520820326 3.19177569035425e-22 6.54136695650936e-19 "characterized" "short-chain collagen C4-like" "genome" 1 "-1" "triploid_heat"
"LOC105335714" 846.351423054009 -1.89470726965334 0.43585741051504 5.45761624018563e-07 6.17581175154748e-05 "characterized" "lectin BRA-3 isoform X4" "genome" 1 "-1" "triploid_heat"
"LOC117681347" 24.6008083737476 -1.92103245090161 0.310454899580872 2.84363939056646e-11 1.21978903625578e-08 "characterized" "phosphonoacetaldehyde hydrolase-like" "genome" 1 "-1" "triploid_heat"
"LOC105346538" 10.029830438041 -1.92137960519613 0.747322035422627 0.000309603068410121 0.00918107491450913 "characterized" "clumping factor A" "genome" 1 "-1" "triploid_heat"
