"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature" "treatment"
"LOC105348135" 137.92001003407 3.43149938624301 0.670639611726862 8.68049440919321e-10 5.91092066440862e-07 "uncharacterized protein LOC105348135" "genome" "triploid_heat"
"LOC105327005" 78.3688543459786 3.40977853985594 0.697038151973048 2.26571056016348e-09 1.31704097025308e-06 "transient receptor potential cation channel subfamily M member 2-like" "genome" "triploid_heat"
"LOC117688394" 4.45438206990642 3.23269751171455 1.35606744846991 5.25579586152907e-07 0.000139179314186469 "uncharacterized protein LOC117688394" "genome" "triploid_heat"
"LOC117687184" 6.37694597155665 3.07078391664373 0.998902260606334 4.52099385869368e-07 0.000123849249004881 "uncharacterized protein LOC117687184" "genome" "triploid_heat"
"LOC105344998" 85.816518571295 3.03794487821359 0.464020882610997 2.86198543948322e-13 4.26310618620022e-10 "uncharacterized protein LOC105344998 isoform X2" "genome" "triploid_heat"
"LOC105319646" 75.567528264993 3.02729767665442 0.616915739316357 2.25717873665584e-09 1.31704097025308e-06 "C-type lectin domain family 4 member M isoform X7" "genome" "triploid_heat"
"LOC117687101" 25.6814481900469 2.91997873822134 0.55721028859498 4.34323590923845e-10 3.45041138082934e-07 "uncharacterized protein LOC117687101" "genome" "triploid_heat"
"LOC117681374" 13.1519426175876 2.91054753120814 0.699357745451914 4.25672785621827e-08 1.69084324995417e-05 "uncharacterized protein LOC117681374 isoform X1" "genome" "triploid_heat"
"LOC117687006" 12.4809719550198 2.71720316241909 0.920440431141835 1.03791175577424e-06 0.000249864150256238 "cerebellin-3-like" "genome" "triploid_heat"
"LOC117688712" 25.9173721166943 2.56242212404383 0.886073162368603 1.45913383147584e-06 0.000340936633387878 "multiple epidermal growth factor-like domains protein 6" "genome" "triploid_heat"
"LOC117691401" 6.07721371385145 2.37861107021604 1.28294659343473 6.6773029285037e-06 0.00109000110065088 "deleted in malignant brain tumors 1 protein-like" "genome" "triploid_heat"
"LOC117680708" 58.014534097024 2.35797144788266 0.222966797433487 5.92308763775287e-29 1.41164947670564e-24 "serine/arginine-rich splicing factor 1-like" "genome" "triploid_heat"
"LOC117692755" 89.9566286594269 2.32392032253447 0.474537756530387 2.17225948958329e-09 1.31704097025308e-06 "uncharacterized protein LOC117692755" "genome" "triploid_heat"
"LOC105318831" 62.9426721464992 2.10679963927491 0.496074240862528 5.50916256430332e-08 2.08412494277843e-05 "epithelial membrane protein 3" "genome" "triploid_heat"
"LOC105338176" 28.2769633313749 2.01680814458368 1.11770946321621 1.69609270268122e-05 0.00224572096572231 "transmembrane protease serine 2" "genome" "triploid_heat"
"LOC105327001" 6.12442545429166 1.94580517554463 0.683610816108265 3.90572148871133e-06 0.00072722703312857 "glutathione-specific gamma-glutamylcyclotransferase 2" "genome" "triploid_heat"
"LOCNA.14" 1743.87420338071 1.89760087454071 0.250268670681009 2.43107478953593e-16 6.4377561621122e-13 NA NA "triploid_heat"
"LOC105343642" 14.7201073504628 1.88255289539628 0.977037595420008 2.01503209624898e-05 0.00255722136420261 "cerebellin-2-like" "genome" "triploid_heat"
"LOC105340370" 996.986369112664 1.87670731117394 0.228506892781721 1.7124987139438e-18 6.80233030823709e-15 "78 kDa glucose-regulated protein precursor" "genome" "triploid_heat"
"LOC105334643" 12.9784277713178 1.85413074815986 0.870021661368441 1.62242751757191e-05 0.00216901354398972 "uncharacterized protein LOC105334643" "genome" "triploid_heat"
"LOC105318237" 153.832161146923 1.82666141265816 0.706992855564156 7.96034302974677e-06 0.0012647923695197 "trichohyalin isoform X1" "genome" "triploid_heat"
"LOC105317856" 4.26508237127813 1.82443766620019 0.858475456554869 1.73055098871709e-05 0.00227868628254666 "uncharacterized protein LOC105317856" "genome" "triploid_heat"
"LOC117690219" 5.69697291002769 1.80924652454736 0.91150992445626 2.17069752133431e-05 0.00272285442241898 "uncharacterized protein LOC117690219 isoform X2" "genome" "triploid_heat"
"LOC105345989" 1579.4702105749 1.8029834029216 0.310623956240691 6.87642508022651e-11 6.8285766223766e-08 "heat shock protein 83-like" "genome" "triploid_heat"
"LOC105318434" 10.5065117208879 1.77966901776575 0.591633297287964 3.6558112053088e-06 0.000702338085939944 "cell death abnormality protein 1" "genome" "triploid_heat"
"LOC105321541" 328.292516290098 1.76897590585742 0.45082447254844 3.42408704196141e-07 0.000100748477124773 "uncharacterized protein LOC105321541" "genome" "triploid_heat"
