"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature"
"LOC105332850" 11.2813072141633 2.60843794913918 0.743234747846699 7.90611367480131e-08 2.93611821576726e-05 "2'-deoxynucleoside 5'-phosphate N-hydrolase 1-like" "genome"
"LOC105344998" 136.057404272208 2.49753254030524 0.453162208325278 9.64231260629535e-11 9.22769316422465e-08 "uncharacterized protein LOC105344998 isoform X2" "genome"
"LOC105319646" 96.3912034075545 2.40982490639877 0.462669533923156 8.69651566702611e-10 6.18247722362696e-07 "C-type lectin domain family 4 member M isoform X7" "genome"
"LOC117692755" 188.356153866623 2.12024984767074 0.343442523344235 2.58679240577026e-11 2.92566221092616e-08 "uncharacterized protein LOC117692755" "genome"
"LOC105334643" 21.0249337159058 1.90618809722791 0.645316832229823 4.40521174775848e-06 0.000905382086573428 "uncharacterized protein LOC105334643" "genome"
"LOC105318831" 71.7934630851925 1.89887437261674 0.47558085548564 7.29349574762115e-07 0.000192996390601904 "epithelial membrane protein 3" "genome"
"LOC105326670" 192.167293375548 1.74539836854495 0.253236540466325 7.37001154599368e-13 1.66709661170377e-09 "UPF0676 protein C1494.01-like" "genome"
"LOC105340370" 1020.94562593856 1.74197989673469 0.269837167395523 1.35754164197278e-11 1.87657506308704e-08 "78 kDa glucose-regulated protein precursor" "genome"
"LOCNA.13" 1811.42720305881 1.7330392387859 0.293611597851639 3.95470087407598e-10 3.1742215209277e-07 NA NA
"LOC105321541" 659.408101350659 1.73094023797161 0.363943512590026 9.66093954760489e-08 3.4838188090363e-05 "uncharacterized protein LOC105321541" "genome"
"LOC117689114" 659.923502704656 1.72622875155802 0.364845407373213 1.06507458509251e-07 3.7858836894674e-05 "LOW QUALITY PROTEIN: uncharacterized protein LOC117689114" "genome"
"LOC105319208" 291.829834209519 1.72187915854765 0.344481632713044 3.70926546625572e-08 1.51301546444877e-05 "spliceosome RNA helicase DDX39B" "genome"
"LOC117680291" 3415.83533804111 1.71109046838303 0.302259498803268 1.5543785839552e-09 1.01779073489403e-06 "heat shock protein 83-like" "genome"
"LOC105328062" 15.3497979742807 1.67218356738076 0.498967035059968 4.35922956812151e-06 0.000905382086573428 "baculoviral IAP repeat-containing protein 2" "genome"
"LOC105345989" 2975.61287090271 1.64911987014147 0.324324078375723 2.72504451392422e-08 1.16904409647349e-05 "heat shock protein 83-like" "genome"
"LOC105330649" 77.7912767303693 1.62623442561404 0.321900318407449 3.17359519309424e-08 1.3383965355012e-05 "galaxin-like" "genome"
"LOC117683717" 60.9549126078718 1.59074842620989 0.76614231751293 2.90120795244608e-05 0.00362753046596801 "uncharacterized protein LOC117683717" "genome"
"LOC105327716" 30.5657971495705 1.56653913294082 0.507848649550102 8.20346300164836e-06 0.00143745469300714 "uncharacterized protein LOC105327716" "genome"
"LOC105328057" 23.4858794377948 1.55245192736252 0.526230385639167 1.05529832639728e-05 0.00168320083060367 "uncharacterized protein LOC105328057" "genome"
"LOC105332206" 47.4263064762701 1.5519117335535 0.364557191074674 5.567507166666e-07 0.000155652486877509 "uncharacterized protein LOC105332206" "genome"
"LOC105341388" 147.229593047623 1.51455657344756 0.25202640733619 2.5383619642043e-10 2.25569722833326e-07 "protein disulfide-isomerase A6 isoform X1" "genome"
"LOC105332086" 32.7952436066272 1.5108415636595 0.61101737808543 2.37288228473515e-05 0.00320880744612935 "small conductance calcium-activated potassium channel protein" "genome"
"LOC105326443" 505.523148876845 -1.51718390693415 0.381258881435426 1.20530851365511e-06 0.000299904864367665 "perlucin-like protein" "genome"
"LOC105317166" 47.0729088102182 -1.539606371769 0.298848516464543 2.0477902662686e-08 9.26420316459912e-06 "collagen alpha-2(VIII) chain" "genome"
"LOC117682938" 58.8576744347309 -1.55861036049685 0.264889178454156 5.17053998566043e-10 4.02041799760009e-07 "complement C1q tumor necrosis factor-related protein 2-like" "genome"
