"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature"
"LOC105320270" 53.473178555373 2.15833741923512 0.128385932041569 12.2547493655746 NA NA "uncharacterized protein LOC105320270" "genome"
"LOC117680333" 57.0384876887902 1.88009442816649 0.185713840138526 6.97360211387832 NA NA "protein FAM124A-like" "genome"
"LOC117683059" 13.1604811469301 1.74359112303735 0.210356027225551 5.50776290234398 NA NA "uncharacterized protein LOC117683059" "genome"
"LOC105332313" 1770.49684215464 1.60824101820189 0.195769451593888 5.22676551357228 NA NA "LOW QUALITY PROTEIN: X-box-binding protein 1" "genome"
"LOC105325538" 39.5411624823867 1.60147793118259 0.211935276080754 4.79617150094106 NA NA "caveolin-1" "genome"
"LOC105346580" 23.0197324157118 1.58068995661419 0.206673627967703 4.8176923510037 NA NA "uncharacterized protein LOC105346580" "genome"
"LOC105333755" 124.859157834477 1.57109314857906 0.157785683733045 6.24957299831728 NA NA "beta-1,4-galactosyltransferase 1-like isoform X1" "genome"
"LOC105332773" 717.545699419146 1.53755406966635 0.186301386522597 5.1129735931987 NA NA "zinc finger homeobox protein 4" "genome"
"LOC105335843" 85.3555880283686 1.52539206858118 0.209680967847785 4.48487088853887 NA NA "myosin-3" "genome"
"LOC105329490" 91.5397375366111 1.51578063934839 0.180848506699087 5.14674218956704 NA NA "uncharacterized protein LOC105329490" "genome"
"LOC105318073" 299.13626613198 -1.53755556390277 0.170900604713152 -5.57374016026208 2.49327533139036e-08 0.000150980287692343 "perlucin-like protein" "genome"
"LOC117690337" 31.3775047648505 -1.63533060868506 0.209394584548714 -5.0160352090706 5.27486662279459e-07 0.00255535638674661 "uncharacterized protein LOC117690337 isoform X1" "genome"
"LOC117681310" 323.157703829087 -1.70671400878551 0.175904771032695 -6.3768253822804 1.80796397208974e-10 1.45975011106525e-06 "perlucin-like protein" "genome"
"LOC105320276" 311.802031575727 -1.81610317675145 0.17959263477763 -6.85497586399234 7.13245604762072e-12 1.72762350385469e-07 "translation initiation factor IF-2-like isoform X7" "genome"
"LOC105318074" 629.293070464701 -1.85491870146032 0.196741576253755 -6.45475514449672 1.08394013857713e-10 1.31275990183076e-06 "perlucin-like protein" "genome"
"LOC117686832" 6.92225182405738 -2.56312896550191 0.198548547316603 -9.96294856968967 NA NA "perlucin-like protein isoform X2" "genome"
