gene	padj	log2FoldChange	description	product_accession	GeneID	genomic_accession	start	end	GOID	GOterm	GOSlim	GOcat
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0001659	temperature homeostasis	other biological processes	P
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0002407	dendritic cell chemotaxis	other biological processes	P
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0005261	cation channel activity	transporter activity	F
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0005272	sodium channel activity	transporter activity	F
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0005384	manganese ion transmembrane transporter activity	transporter activity	F
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0005509	calcium ion binding	other molecular function	F
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0005765	lysosomal membrane	other cytoplasmic organelle	C
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0005765	lysosomal membrane	other membranes	C
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0005886	plasma membrane	other membranes	C
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0005886	plasma membrane	plasma membrane	C
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0005887	integral to plasma membrane	other membranes	C
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0005887	integral to plasma membrane	plasma membrane	C
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0009408	response to heat	stress response	P
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0015278	calcium-release channel activity	transporter activity	F
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0030659	cytoplasmic vesicle membrane	other membranes	C
LOC105327005	0.000000351105993213804	4.14031573468535	transient receptor potential cation channel subfamily M member 2-like	XM_034463160.1	105327005	NC_047560.1	11210992	11259945	GO:0032024	positive regulation of insulin secretion	cell-cell signaling	P
