gene	padj	log2FoldChange	description
LOC105324591	1.21992525922614e-06	3.86318641178389	multiple epidermal growth factor-like domains protein 11 isoform X1
LOC117687700	1.21992525922614e-06	3.18625346683196	transient receptor potential cation channel subfamily M member-like 2 isoform X2
LOC117690820	2.9118588165147e-05	2.82800999509135	integrase/recombinase xerD homolog
LOC117682228	0.00111789732535058	2.80057632143144	interaptin-like
LOC105329127	2.65032170222345e-05	2.57334557985585	complement C1q tumor necrosis factor-related protein 3-like
LOC105326104	0.0100549239859032	2.51928656220293	cytochrome P450 2B2-like
LOC105322227	0.00255799958384532	2.48821551777984	low-density lipoprotein receptor-related protein 4
LOC105328676	0.000529454968923792	2.42281383887322	transmembrane protein 26-like
LOC105325689	0.00430177599877952	2.35787417612096	low-density lipoprotein receptor-related protein 4-like isoform X2
LOC105324626	0.000256029444367289	2.24912353292436	protocadherin Fat 1
LOC105337786	0.00759636285529692	2.20470353683648	neuropeptide SIFamide receptor
LOC105328812	0.00176686171030239	1.98400651860605	microfibril-associated glycoprotein 4 isoform X1
LOC105336491	0.000428664237490406	1.93773636706451	multiple epidermal growth factor-like domains protein 6 isoform X3
LOC105331456	0.00689894444087684	1.90755960593344	organic cation transporter protein
LOC117683634	0.00118071394690547	1.89150817571352	sarcoplasmic calcium-binding protein-like
LOC105327547	1.10272602081117e-06	1.8197451645477	metalloproteinase inhibitor 3
LOC109619522	0.00434275388744444	1.7823298598668	sarcoplasmic calcium-binding protein-like
LOC105327950	0.0266098695092055	1.77681749301344	putative T-box protein 7 isoform X1
LOC105320489	0.0184592142021892	1.77642597239931	formin-like protein 14
LOC105346734	5.41917654224585e-06	1.75118501836572	interferon alpha-inducible protein 27-like protein 2B isoform X2
LOC105343639	0.597568927901259	1.72106314750428	multimerin-2
LOC117687008	0.0258641542854785	1.71127902334848	transmembrane GTPase Marf-like isoform X1
LOC105332245	0.00911350131961713	1.68356046796152	laccase-24
LOC109618433	0.0258641542854785	1.68183617358833	heat shock 70 kDa protein 12B
LOC117686834	0.0213592216103832	1.66535336008465	perlucin-like protein isoform X1
LOC105335514	0.0184592142021892	1.66257538935656	ALX homeobox protein 1
LOC117686992	0.0385417699951739	1.65135091214621	cell death abnormality protein 1-like
