"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature"
"LOC105338907" 52.787136714481 1.70756923171417 0.215241926015861 5.21538369635034 NA NA "myosin heavy chain, striated muscle isoform X4" "genome"
"LOC105344057" 5.91634890431937 1.63533608527761 0.201339123204687 5.21675106437121 NA NA "nuclear receptor coactivator 6" "genome"
"LOC105333914" 10.829135089699 1.54121349300605 0.220290308317473 4.34069705703076 NA NA "prisilkin-39-like" "genome"
"LOC105318146" 33.4107828212363 -1.52841527965671 0.211648849005468 -4.45745528071515 NA NA "ganglioside GM2 activator" "genome"
"LOC105332313" 1425.34975390117 -1.53342471887774 0.147993627389474 -6.4085510680928 NA NA "LOW QUALITY PROTEIN: X-box-binding protein 1" "genome"
"LOC105321906" 8.1760876399972 -1.53764518284128 0.212506204650645 -4.48290526108357 NA NA "uncharacterized protein LOC105321906 isoform X1" "genome"
"LOC117682713" 58.0979874021124 -1.54469258416136 0.220543479410272 -4.35148926972386 NA NA "uncharacterized protein LOC117682713" "genome"
"LOC105336299" 50.1107920220184 -1.60339251352879 0.220490798072888 -4.61875290229634 NA NA "ribonucleoside-diphosphate reductase small chain" "genome"
"LOC105327537" 133.295481692553 -1.6674411209838 0.203137488591266 -5.32861328792827 NA NA "uncharacterized protein LOC105327537" "genome"
"LOC117684651" 132.491724995996 -1.97487524569906 0.122504497921609 -11.3455037919379 NA NA "uncharacterized protein LOC117684651" "genome"
"LOC105336535" 165.587663806715 -2.01499549546184 0.199254412879574 -7.17673187156014 NA NA "uncharacterized protein LOC105336535 isoform X1" "genome"
"LOC105336537" 65.7171870908776 -2.25301915082656 0.21258738192524 -7.84627542670029 NA NA "uncharacterized protein LOC105336537 isoform X3" "genome"
"LOC117684652" 115.301181695955 -2.59687031656669 0.129095426630239 -15.5843655277517 NA NA "uncharacterized protein LOC117684652" "genome"
