GOID,p.value,gene,padj,log2FoldChange,description,product_accession,GeneID,genomic_accession,start,end,GOterm,GOSlim,GOcat
GO:0000413,0.00025,LOC105345603,0.000000000000406592315131637,-2.14810450783473,peptidyl-prolyl cis-trans isomerase B isoform X2,XM_034482887.1,105345603,NC_047564.1,23235768,23239722,protein peptidyl-prolyl isomerization,protein metabolism,P
GO:0000413,0.00025,LOC105345603,0.000000000000406592315131637,-2.14810450783473,peptidyl-prolyl cis-trans isomerase B isoform X2,XM_034482886.1,105345603,NC_047564.1,23235768,23239713,protein peptidyl-prolyl isomerization,protein metabolism,P
GO:0001868,0.00451,LOC117682508,0.00083470749714716,-2.71064254729255,fucolectin-like,XM_034450223.1,117682508,NC_047566.1,45602610,45603813,regulation of complement activation, lectin pathway,protein metabolism,P
GO:0001868,0.00451,LOC117682508,0.00083470749714716,-2.71064254729255,fucolectin-like,XM_034450223.1,117682508,NC_047566.1,45602610,45603813,regulation of complement activation, lectin pathway,stress response,P
GO:0001868,0.00451,LOC105348557,0.0000771330359432423,-3.35689600473198,fucolectin,XM_034450222.1,105348557,NC_047566.1,45595593,45596783,regulation of complement activation, lectin pathway,stress response,P
GO:0001868,0.00451,LOC105348557,0.0000771330359432423,-3.35689600473198,fucolectin,XM_034450222.1,105348557,NC_047566.1,45595593,45596783,regulation of complement activation, lectin pathway,protein metabolism,P
GO:0006268,0.00000000024650232294857496,LOC105329085,0.00000000000000162739175106462,-1.69288965606272,high mobility group-T protein,XM_011430243.2,105329085,NC_047565.1,7562918,7565815,DNA unwinding during replication,DNA metabolism,P
GO:0006268,0.00000000024650232294857496,LOC105329085,0.00000000000000162739175106462,-1.69288965606272,high mobility group-T protein,XM_034444030.1,105329085,NC_047565.1,7562941,7565815,DNA unwinding during replication,DNA metabolism,P
GO:0006268,0.00000000024650232294857496,LOC105329085,0.00000000000000162739175106462,-1.69288965606272,high mobility group-T protein,XM_034444031.1,105329085,NC_047565.1,7563193,7565815,DNA unwinding during replication,DNA metabolism,P
GO:0006268,0.00000000024650232294857496,LOC105329085,0.00000000000000162739175106462,-1.69288965606272,high mobility group-T protein,XM_034444029.1,105329085,NC_047565.1,7562941,7565815,DNA unwinding during replication,DNA metabolism,P
GO:0006268,0.00000000024650232294857496,LOC105329085,0.00000000000000162739175106462,-1.69288965606272,high mobility group-T protein,XM_034444032.1,105329085,NC_047565.1,7562941,7565815,DNA unwinding during replication,DNA metabolism,P
GO:0006338,0.00009239636178217907193193,LOC105329085,0.00000000000000162739175106462,-1.69288965606272,high mobility group-T protein,XM_034444029.1,105329085,NC_047565.1,7562941,7565815,chromatin remodeling,cell organization and biogenesis,P
