gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,cat,description,feature,count,plus_minus,analysis
LOC105330078,668.7624875,-4.084102359,0.643417663,9.23E-12,6.42E-09,characterized,fucolectin,genome,1,-1,triploid_desiccation
LOC105318074,395.6562435,-3.680364905,0.386059587,7.60E-23,1.78E-19,characterized,perlucin-like protein,genome,1,-1,triploid_desiccation
LOC109619585,96.46518908,-3.452314731,0.752061988,1.61E-07,4.03E-05,characterized,sterile alpha motif domain-containing protein 9-like,genome,1,-1,triploid_desiccation
LOC105321620,22.20467727,-2.740530771,0.619124661,3.88E-07,8.29E-05,characterized,heavy metal-binding protein HIP,genome,1,-1,triploid_desiccation
LOC105320276,293.7056842,-2.498219889,0.336209775,5.10E-15,6.38E-12,characterized,translation initiation factor IF-2-like isoform X7,genome,1,-1,triploid_desiccation
LOC117691193,25.70055599,-2.151182553,0.582739917,8.53E-06,0.001040292,characterized,elongation factor 2-like,genome,1,-1,triploid_desiccation
LOC117690533,16.81486683,-1.994563132,0.56191034,1.57E-05,0.001679384,characterized,serine/threonine-protein kinase TAO3-like,genome,1,-1,triploid_desiccation
LOC105326729,11.86330814,-1.991640483,0.434345784,2.23E-07,5.24E-05,characterized,complement C1q-like protein 3,genome,1,-1,triploid_desiccation
LOC117686727,27.83264161,-1.948494312,0.577267455,2.71E-05,0.002612618,characterized,short-chain collagen C4-like,genome,1,-1,triploid_desiccation
LOC105342748,18.62312355,-1.922082004,0.294530702,3.57E-12,2.92E-09,characterized,microfibril-associated glycoprotein 4,genome,1,-1,triploid_desiccation
LOC117682909,12.00159061,-1.90911348,0.444286069,7.60E-07,0.000142682,characterized,heavy metal-binding protein HIP-like isoform X1,genome,1,-1,triploid_desiccation
LOC105335714,797.9146946,-1.711271757,0.452291113,5.98E-06,0.000779857,characterized,lectin BRA-3 isoform X4,genome,1,-1,triploid_desiccation
LOC105341870,23.26277783,-1.594154403,0.659314669,0.000465511,0.021724763,characterized,glyoxylate reductase/hydroxypyruvate reductase,genome,1,-1,triploid_desiccation
LOCNA.11,146.6143451,-1.589670869,0.196564651,3.51E-17,5.49E-14,characterized,NA,NA,1,-1,triploid_desiccation
LOC105344085,2145.917258,-1.578393007,0.21407268,9.03E-15,1.06E-11,characterized,nucleolin isoform X1,genome,1,-1,triploid_desiccation
LOC105323188,212.3787983,-1.575210814,0.381103162,1.49E-06,0.000247956,characterized,complement C1q tumor necrosis factor-related protein 3,genome,1,-1,triploid_desiccation
LOC105336086,28.81548979,-1.573457112,0.503204527,6.57E-05,0.00520078,characterized,microfibril-associated glycoprotein 4-like,genome,1,-1,triploid_desiccation
LOC105335284,98.47852248,-1.558592449,0.48431052,4.69E-05,0.003913026,characterized,actin-like,genome,1,-1,triploid_desiccation
LOC117689844,32.29939729,-1.547383959,0.517540308,9.88E-05,0.007030464,characterized,microfibril-associated glycoprotein 4-like,genome,1,-1,triploid_desiccation
LOC117680587,210.2916285,-1.520917918,0.592217026,0.000313306,0.016291924,characterized,fucolectin-like,genome,1,-1,triploid_desiccation
LOC105329069,1570.944468,-1.469399269,0.387500554,6.04E-06,0.000782585,characterized,L-rhamnose-binding lectin CSL3 isoform X1,genome,1,-1,triploid_desiccation
