"Gene.secondaryIdentifier","Gene.symbol","Gene.organism.name","Gene.pathways.identifier","Gene.pathways.name","Gene.pathways.dataSets.name"
"","LOC105317513","Crassostrea gigas","crg04145","Phagosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105319852","Crassostrea gigas","crg00830","Retinol metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105320186","Crassostrea gigas","crg00531","Glycosaminoglycan degradation - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105320186","Crassostrea gigas","crg04142","Lysosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105323290","Crassostrea gigas","crg00340","Histidine metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105324323","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329166","Crassostrea gigas","crg00330","Arginine and proline metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329457","Crassostrea gigas","crg03410","Base excision repair - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105335979","Crassostrea gigas","crg04080","Neuroactive ligand-receptor interaction - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105336299","Crassostrea gigas","crg00230","Purine metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105336299","Crassostrea gigas","crg00240","Pyrimidine metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105336299","Crassostrea gigas","crg00480","Glutathione metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105336299","Crassostrea gigas","crg00983","Drug metabolism - other enzymes - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105336341","Crassostrea gigas","crg00561","Glycerolipid metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105338509","Crassostrea gigas","crg04080","Neuroactive ligand-receptor interaction - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105342692","Crassostrea gigas","crg00270","Cysteine and methionine metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105343572","Crassostrea gigas","crg00520","Amino sugar and nucleotide sugar metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105344805","Crassostrea gigas","crg04080","Neuroactive ligand-receptor interaction - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC109618002","Crassostrea gigas","crg04080","Neuroactive ligand-receptor interaction - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC109620632","Crassostrea gigas","crg00520","Amino sugar and nucleotide sugar metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117684408","Crassostrea gigas","crg04120","Ubiquitin mediated proteolysis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117684541","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117684541","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117684541","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117684686","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117691793","Crassostrea gigas","crg00330","Arginine and proline metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
