"Gene.secondaryIdentifier","Gene.symbol","Gene.organism.name","Gene.pathways.identifier","Gene.pathways.name","Gene.pathways.dataSets.name"
"","LOC105322484","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105322484","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105322484","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329206","Crassostrea gigas","crg00510","N-Glycan biosynthesis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329206","Crassostrea gigas","crg00513","Various types of N-glycan biosynthesis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334234","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334234","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334234","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334510","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334510","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334510","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105337779","Crassostrea gigas","crg03013","Nucleocytoplasmic transport - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105337779","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105346868","Crassostrea gigas","crg00533","Glycosaminoglycan biosynthesis - keratan sulfate - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348304","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348304","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348304","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348305","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348305","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348305","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117680358","Crassostrea gigas","crg04120","Ubiquitin mediated proteolysis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117680673","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117680673","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117680673","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
