"Gene.secondaryIdentifier","Gene.symbol","Gene.organism.name","Gene.pathways.identifier","Gene.pathways.name","Gene.pathways.dataSets.name"
"","LOC105317162","Crassostrea gigas","crg00270","Cysteine and methionine metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105319208","Crassostrea gigas","crg03013","Nucleocytoplasmic transport - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105319208","Crassostrea gigas","crg03015","mRNA surveillance pathway - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105319208","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105325010","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105328062","Crassostrea gigas","crg04120","Ubiquitin mediated proteolysis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329085","Crassostrea gigas","crg03410","Base excision repair - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329085","Crassostrea gigas","crg04140","Autophagy - animal - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105331115","Crassostrea gigas","crg00330","Arginine and proline metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105337779","Crassostrea gigas","crg03013","Nucleocytoplasmic transport - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105337779","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105339247","Crassostrea gigas","crg00010","Glycolysis / Gluconeogenesis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105339247","Crassostrea gigas","crg00052","Galactose metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105340370","Crassostrea gigas","crg03060","Protein export - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105340370","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105341388","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105345989","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC109620632","Crassostrea gigas","crg00520","Amino sugar and nucleotide sugar metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117680291","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117689279","Crassostrea gigas","crg03013","Nucleocytoplasmic transport - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
