"Gene.secondaryIdentifier","Gene.symbol","Gene.organism.name","Gene.pathways.identifier","Gene.pathways.name","Gene.pathways.dataSets.name"
"","LOC105318146","Crassostrea gigas","crg04142","Lysosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105322484","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105322484","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105322484","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105328062","Crassostrea gigas","crg04120","Ubiquitin mediated proteolysis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329206","Crassostrea gigas","crg00510","N-Glycan biosynthesis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105329206","Crassostrea gigas","crg00513","Various types of N-glycan biosynthesis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105330701","Crassostrea gigas","crg04140","Autophagy - animal - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105330701","Crassostrea gigas","crg04142","Lysosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105330701","Crassostrea gigas","crg04145","Phagosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334234","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334234","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334234","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334510","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334510","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105334510","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105335878","Crassostrea gigas","crg00910","Nitrogen metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105336299","Crassostrea gigas","crg00230","Purine metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105336299","Crassostrea gigas","crg00240","Pyrimidine metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105336299","Crassostrea gigas","crg00480","Glutathione metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105336299","Crassostrea gigas","crg00983","Drug metabolism - other enzymes - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105338263","Crassostrea gigas","crg00562","Inositol phosphate metabolism - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105338263","Crassostrea gigas","crg04070","Phosphatidylinositol signaling system - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105338263","Crassostrea gigas","crg04145","Phagosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348304","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348304","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348304","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348305","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348305","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC105348305","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117680673","Crassostrea gigas","crg03040","Spliceosome - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117680673","Crassostrea gigas","crg04141","Protein processing in endoplasmic reticulum - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
"","LOC117680673","Crassostrea gigas","crg04144","Endocytosis - Crassostrea gigas (Pacific oyster)","KEGG pathways data set"
